ID Cliente;Cliente;Cidade
101; EXTRA ;João Pessoa/PB
102; EXTRA ;Guarulhos/SP
103; CASAS BAHIA ;Mossoró/RN
104; PERNAMBUCANAS ;Caxias do Sul/RS
105; CASAS BAHIA ;Campinas/SP
106; CARREFOUR ;Cuiabá/MT
107; CARREFOUR ;Maceió/AL
108; CARREFOUR ;Ouro Fino/MG
109; PONTO FRIO ;Pouso Alegre/MG
110; WALLMART ;Belém/PA
111; PONTO FRIO ;Macapá/AP
112; PERNAMBUCANAS ;Joinville/SC
113; MARABRAZ ;Varginha/MG
114; MARABRAZ ;Maceió/AL
115; CARREFOUR ;Pelotas/RS
116; MARABRAZ ;Santo André/SP
117; PONTO FRIO ;João Pessoa/PB
118; CARREFOUR ;Florianópolis/SC
119; CARREFOUR ;Uberlândia/MG
120; EXTRA ;Aracaju/SE
121; PERNAMBUCANAS ;Belém/PA
122; CARREFOUR ;Campinas/SP
123; PONTO FRIO ;Barueri/SP
124; CASAS BAHIA ;Manaus/AM
125; WALLMART ;Aracaju/SE
126; CASAS BAHIA ;Mauá/SP
127; CARREFOUR ;Mossoró/RN
128; CASAS BAHIA ;Montes Claros/MG
129; PONTO FRIO ;Belém/PA
130; EXTRA ;Niterói/RJ
131; WALLMART ;Cuiabá/MT
132; MARABRAZ ;Brasília/DF
133; PONTO FRIO ;Varginha/MG
134; CARREFOUR ;Salvador/BA
135; MARABRAZ ;São Luís/MA
136; PERNAMBUCANAS ;Campinas/SP
137; MARABRAZ ;Teresina/PI
138; PERNAMBUCANAS ;Camaçari/BA
139; CASAS BAHIA ;Porto Velho/RO
140; MARABRAZ ;Fortaleza/CE
141; MARABRAZ ;Rio de Janeiro/RJ
142; MARABRAZ ;Vila Velha/ES
143; PERNAMBUCANAS ;Maceió/AL
144; PERNAMBUCANAS ;Ouro Fino/MG
145; WALLMART ;Manaus/AM
146; PONTO FRIO ;Belo Horizonte/MG
147; MARABRAZ ;Porto Alegre/RS
148; CASAS BAHIA ;São Luís/MA
149; CASAS BAHIA ;Santos/SP
150; WALLMART ;Varginha/MG
151; EXTRA ;Rio de Janeiro/RJ
152; PONTO FRIO ;Duque de Caxias/RJ
153; CARREFOUR ;Porto Velho/RO
154; PERNAMBUCANAS ;Porto Alegre/RS
155; CASAS BAHIA ;Joinville/SC
156; WALLMART ;João Pessoa/PB
157; EXTRA ;Macapá/AP
158; WALLMART ;Ribeirão Preto/SP
159; PERNAMBUCANAS ;Fortaleza/CE
160; EXTRA ;Santos/SP
161; WALLMART ;Porto Alegre/RS
162; WALLMART ;Rio de Janeiro/RJ
163; PONTO FRIO ;Santo André/SP
164; EXTRA ;Rio Branco/AC
165; MARABRAZ ;Caxias do Sul/RS
166; EXTRA ;Salvador/BA
167; PONTO FRIO ;Cabo Frio/RJ
168; CASAS BAHIA ;Ponta Grossa/PR
169; MARABRAZ ;Curitiba/PR
170; PONTO FRIO ;Ribeirão Preto/SP
171; PERNAMBUCANAS ;São Paulo/SP
172; MARABRAZ ;Macapá/AP
173; MARABRAZ ;Recife/PE
174; CARREFOUR ;Olinda/PE
175; CASAS BAHIA ;Americana/SP
176; WALLMART ;Niterói/RJ
177; CASAS BAHIA ;João Pessoa/PB
178; CASAS BAHIA ;Maringá/PR
179; PONTO FRIO ;Caxias do Sul/RS
180; EXTRA ;Teresina/PI
181; MARABRAZ ;Aracaju/SE
182; EXTRA ;Duque de Caxias/RJ
183; EXTRA ;Camaçari/BA
184; WALLMART ;Santos/SP
185; MARABRAZ ;João Pessoa/PB
186; EXTRA ;Ribeirão Preto/SP
187; MARABRAZ ;Santos/SP
188; PERNAMBUCANAS ;Olinda/PE
189; WALLMART ;Mossoró/RN
190; WALLMART ;Serra/ES
191; MARABRAZ ;Americana/SP
192; EXTRA ;Manaus/AM
193; WALLMART ;Mauá/SP
194; PONTO FRIO ;Brasília/DF
195; EXTRA ;Joinville/SC
196; CASAS BAHIA ;Maceió/AL
197; CARREFOUR ;Ponta Grossa/PR
198; EXTRA ;Belo Horizonte/MG
199; MARABRAZ ;Camaçari/BA
200; CASAS BAHIA ;Belém/PA
201; WALLMART ;Porto Velho/RO
202; CARREFOUR ;João Pessoa/PB
203; CASAS BAHIA ;Niterói/RJ
204; PERNAMBUCANAS ;Blumenau/SC
205; WALLMART ;Pouso Alegre/MG
206; CASAS BAHIA ;Porto Alegre/RS
207; MARABRAZ ;Ouro Fino/MG
208; PERNAMBUCANAS ;Porto Velho/RO
209; PERNAMBUCANAS ;Montes Claros/MG
210; CASAS BAHIA ;Brasília/DF
211; WALLMART ;Campo Grande/MS
212; CARREFOUR ;Vila Velha/ES
213; WALLMART ;Macapá/AP
214; CASAS BAHIA ;Barueri/SP
215; CASAS BAHIA ;Cuiabá/MT
216; CARREFOUR ;Porto Alegre/RS
217; EXTRA ;Americana/SP
218; EXTRA ;Ponta Grossa/PR
219; PONTO FRIO ;Rio Branco/AC
220; MARABRAZ ;Ponta Grossa/PR
221; CASAS BAHIA ;Osasco/SP
222; PERNAMBUCANAS ;Manaus/AM
223; PERNAMBUCANAS ;Goiânia/GO
224; PONTO FRIO ;Camaçari/BA
225; PERNAMBUCANAS ;Rio Branco/AC
226; CASAS BAHIA ;Serra/ES
227; PONTO FRIO ;Goiânia/GO
228; CARREFOUR ;Guarulhos/SP
229; PONTO FRIO ;Ponta Grossa/PR
230; PERNAMBUCANAS ;Aracaju/SE
231; CASAS BAHIA ;Caxias do Sul/RS
232; PONTO FRIO ;Ouro Fino/MG
233; CARREFOUR ;Serra/ES
234; EXTRA ;Pelotas/RS
235; PERNAMBUCANAS ;Palmas/TO
236; CARREFOUR ;Manaus/AM
237; CARREFOUR ;Barueri/SP
238; CARREFOUR ;Curitiba/PR
239; MARABRAZ ;Porto Velho/RO
240; WALLMART ;Duque de Caxias/RJ
241; MARABRAZ ;Olinda/PE
242; PERNAMBUCANAS ;Brasília/DF
243; MARABRAZ ;Manaus/AM
244; EXTRA ;Pouso Alegre/MG
245; WALLMART ;Florianópolis/SC
246; WALLMART ;Joinville/SC
247; EXTRA ;Vila Velha/ES
248; EXTRA ;Campo Grande/MS
249; EXTRA ;Barueri/SP
250; EXTRA ;Belém/PA
251; PONTO FRIO ;Florianópolis/SC
252; EXTRA ;Varginha/MG
253; CASAS BAHIA ;Blumenau/SC
254; EXTRA ;Mossoró/RN
255; MARABRAZ ;Pelotas/RS
256; PONTO FRIO ;Porto Alegre/RS
257; PERNAMBUCANAS ;Curitiba/PR
258; WALLMART ;Uberlândia/MG
259; CASAS BAHIA ;Santo André/SP
260; PONTO FRIO ;Teresina/PI
261; CARREFOUR ;Mauá/SP
262; CARREFOUR ;Osasco/SP
263; PERNAMBUCANAS ;Ribeirão Preto/SP
264; PERNAMBUCANAS ;Mossoró/RN
265; WALLMART ;Vila Velha/ES
266; WALLMART ;Maceió/AL
267; EXTRA ;Ouro Fino/MG
268; PERNAMBUCANAS ;Divinópolis/MG
269; PONTO FRIO ;Maringá/PR
270; PONTO FRIO ;Recife/PE
271; MARABRAZ ;Joinville/SC
272; EXTRA ;Porto Alegre/RS
273; PONTO FRIO ;Osasco/SP
274; PONTO FRIO ;Niterói/RJ
275; MARABRAZ ;Mossoró/RN
276; CASAS BAHIA ;Macapá/AP
277; EXTRA ;Blumenau/SC
278; PONTO FRIO ;Serra/ES
279; EXTRA ;Cuiabá/MT
280; CARREFOUR ;Pouso Alegre/MG
281; PONTO FRIO ;Curitiba/PR
282; PONTO FRIO ;Uberlândia/MG
283; PONTO FRIO ;Mossoró/RN
284; PERNAMBUCANAS ;Rio de Janeiro/RJ
285; MARABRAZ ;Palmas/TO
286; WALLMART ;São Paulo/SP
287; CARREFOUR ;Santos/SP
288; CARREFOUR ;Rio de Janeiro/RJ
289; PONTO FRIO ;Blumenau/SC
290; PERNAMBUCANAS ;Vila Velha/ES
291; CARREFOUR ;Rio Branco/AC
292; EXTRA ;Brasília/DF
293; EXTRA ;Palmas/TO
294; PONTO FRIO ;Fortaleza/CE
295; MARABRAZ ;Uberlândia/MG
296; MARABRAZ ;Cabo Frio/RJ
297; EXTRA ;Fortaleza/CE
298; CARREFOUR ;Niterói/RJ
299; CASAS BAHIA ;Divinópolis/MG
300; PONTO FRIO ;Divinópolis/MG
301; PERNAMBUCANAS ;Barueri/SP
302; MARABRAZ ;Ribeirão Preto/SP
303; CASAS BAHIA ;Duque de Caxias/RJ
304; CASAS BAHIA ;Guarulhos/SP
305; EXTRA ;Uberlândia/MG
306; PONTO FRIO ;Palmas/TO
307; PERNAMBUCANAS ;Florianópolis/SC
308; PONTO FRIO ;Rio de Janeiro/RJ
309; WALLMART ;Maringá/PR
310; EXTRA ;Florianópolis/SC
311; PERNAMBUCANAS ;Cuiabá/MT
312; PERNAMBUCANAS ;Macapá/AP
313; EXTRA ;Olinda/PE
314; PONTO FRIO ;Guarulhos/SP
315; EXTRA ;Maceió/AL
316; WALLMART ;Goiânia/GO
317; WALLMART ;Rio Branco/AC
318; CASAS BAHIA ;Teresina/PI
319; EXTRA ;Divinópolis/MG
320; MARABRAZ ;Osasco/SP
321; PERNAMBUCANAS ;Recife/PE
322; CARREFOUR ;São Paulo/SP
323; WALLMART ;Santo André/SP
324; CARREFOUR ;Joinville/SC
325; CARREFOUR ;Varginha/MG
326; MARABRAZ ;Duque de Caxias/RJ
327; WALLMART ;Cabo Frio/RJ
328; PERNAMBUCANAS ;Campo Grande/MS
329; CARREFOUR ;Maringá/PR
330; CARREFOUR ;Palmas/TO
331; CASAS BAHIA ;Uberlândia/MG
332; PONTO FRIO ;Olinda/PE
333; CARREFOUR ;Santo André/SP
334; CASAS BAHIA ;Camaçari/BA
335; CARREFOUR ;Duque de Caxias/RJ
336; EXTRA ;São Paulo/SP
337; EXTRA ;Campinas/SP
338; WALLMART ;Recife/PE
339; CASAS BAHIA ;Rio Branco/AC
340; MARABRAZ ;Salvador/BA
341; CARREFOUR ;Fortaleza/CE
342; PERNAMBUCANAS ;Mauá/SP
343; MARABRAZ ;Belém/PA
344; CASAS BAHIA ;São Paulo/SP
345; PERNAMBUCANAS ;Belo Horizonte/MG
346; EXTRA ;Curitiba/PR
347; MARABRAZ ;Guarulhos/SP
348; PERNAMBUCANAS ;Pouso Alegre/MG
349; WALLMART ;Barueri/SP
350; WALLMART ;Belo Horizonte/MG
351; CASAS BAHIA ;Curitiba/PR
352; WALLMART ;Montes Claros/MG
353; PONTO FRIO ;Pelotas/RS
354; WALLMART ;Salvador/BA
355; CARREFOUR ;Goiânia/GO
356; CARREFOUR ;Americana/SP
357; MARABRAZ ;Florianópolis/SC
358; WALLMART ;Divinópolis/MG
359; EXTRA ;Montes Claros/MG
360; WALLMART ;Americana/SP
361; PONTO FRIO ;Manaus/AM
362; PONTO FRIO ;Americana/SP
363; EXTRA ;Osasco/SP
364; WALLMART ;Blumenau/SC
365; PONTO FRIO ;Campo Grande/MS
366; WALLMART ;Guarulhos/SP
367; CASAS BAHIA ;Goiânia/GO
368; WALLMART ;Curitiba/PR
369; CARREFOUR ;São Luís/MA
370; MARABRAZ ;Niterói/RJ
371; MARABRAZ ;Goiânia/GO
